資料夾,狀態碼,訊息
[Crash] [點餐通2.0] [G.T鐵板燒] _  [V5.22.40.240923]_20250831_120431,200,"{""object"":""page"",""id"":""261b851a-1fe9-8166-9733-f420fb06c3a2"",""created_time"":""2025-09-01T01:41:00.000Z"",""last_edited_time"":""2025-09-01T01:41:00.000Z"",""created_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""last_edited_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""cover"":null,""icon"":null,""parent"":{""type"":""database_id"",""database_id"":""23fb851a-1fe9-8025-bf47-e561ab5fea68""},""archived"":false,""in_trash"":false,""properties"":{""Date"":{""id"":""FjT%3C"",""type"":""date"",""date"":{""start"":""2025-08-31"",""end"":null,""time_zone"":null}},""ContentHash"":{""id"":""fsOJ"",""type"":""rich_text"",""rich_text"":[]},""Created"":{""id"":""jJqp"",""type"":""created_time"",""created_time"":""2025-09-01T01:41:00.000Z""},""Status"":{""id"":""p%5E%5EY"",""type"":""status"",""status"":{""id"":""59971fac-5563-4bf4-a796-4e091a3bb56d"",""name"":""Not started"",""color"":""default""}},""Version"":{""id"":""rTr%3A"",""type"":""select"",""select"":{""id"":""80cef491-dab1-42f8-ad5f-a901b0094381"",""name"":""5.22.40.240923"",""color"":""purple""}},""Files"":{""id"":""%7D%40%7Dg"",""type"":""files"",""files"":[]},""Name"":{""id"":""title"",""type"":""title"",""title"":[{""type"":""text"",""text"":{""content"":""[Crash] [點餐通2.0] [G.T鐵板燒] _  [V5.22.40.240923]"",""link"":null},""annotations"":{""bold"":false,""italic"":false,""strikethrough"":false,""underline"":false,""code"":false,""color"":""default""},""plain_text"":""[Crash] [點餐通2.0] [G.T鐵板燒] _  [V5.22.40.240923]"",""href"":null}]}},""url"":""https://www.notion.so/Crash-2-0-G-T-_-V5-22-40-240923-261b851a1fe981669733f420fb06c3a2"",""public_url"":null,""request_id"":""26608181-0d0c-466d-a59f-503b5bdf52a3""}"
[Crash] [點餐通2.0] [NU PASTA] _ [台中建和店] [V5.26.47.250808]_20250830_192924,200,"{""object"":""page"",""id"":""261b851a-1fe9-81f3-b3f8-c69363ae4d3b"",""created_time"":""2025-09-01T01:41:00.000Z"",""last_edited_time"":""2025-09-01T01:41:00.000Z"",""created_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""last_edited_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""cover"":null,""icon"":null,""parent"":{""type"":""database_id"",""database_id"":""23fb851a-1fe9-8025-bf47-e561ab5fea68""},""archived"":false,""in_trash"":false,""properties"":{""Date"":{""id"":""FjT%3C"",""type"":""date"",""date"":{""start"":""2025-08-30"",""end"":null,""time_zone"":null}},""ContentHash"":{""id"":""fsOJ"",""type"":""rich_text"",""rich_text"":[]},""Created"":{""id"":""jJqp"",""type"":""created_time"",""created_time"":""2025-09-01T01:41:00.000Z""},""Status"":{""id"":""p%5E%5EY"",""type"":""status"",""status"":{""id"":""59971fac-5563-4bf4-a796-4e091a3bb56d"",""name"":""Not started"",""color"":""default""}},""Version"":{""id"":""rTr%3A"",""type"":""select"",""select"":{""id"":""2d5042b8-14c9-4de1-8ba9-94677854665c"",""name"":""5.26.47.250808"",""color"":""green""}},""Files"":{""id"":""%7D%40%7Dg"",""type"":""files"",""files"":[]},""Name"":{""id"":""title"",""type"":""title"",""title"":[{""type"":""text"",""text"":{""content"":""[Crash] [點餐通2.0] [NU PASTA] _ [台中建和店] [V5.26.47.250808]"",""link"":null},""annotations"":{""bold"":false,""italic"":false,""strikethrough"":false,""underline"":false,""code"":false,""color"":""default""},""plain_text"":""[Crash] [點餐通2.0] [NU PASTA] _ [台中建和店] [V5.26.47.250808]"",""href"":null}]}},""url"":""https://www.notion.so/Crash-2-0-NU-PASTA-_-V5-26-47-250808-261b851a1fe981f3b3f8c69363ae4d3b"",""public_url"":null,""request_id"":""7e50b034-cd86-4f7d-90e4-361ea4c752cb""}"
[Crash] [點餐通2.0] [NU PASTA] _ [台中潭子店] [V5.26.47.250808]_20250829_183511,200,"{""object"":""page"",""id"":""261b851a-1fe9-8120-a704-de57e2be9222"",""created_time"":""2025-09-01T01:41:00.000Z"",""last_edited_time"":""2025-09-01T01:41:00.000Z"",""created_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""last_edited_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""cover"":null,""icon"":null,""parent"":{""type"":""database_id"",""database_id"":""23fb851a-1fe9-8025-bf47-e561ab5fea68""},""archived"":false,""in_trash"":false,""properties"":{""Date"":{""id"":""FjT%3C"",""type"":""date"",""date"":{""start"":""2025-08-29"",""end"":null,""time_zone"":null}},""ContentHash"":{""id"":""fsOJ"",""type"":""rich_text"",""rich_text"":[]},""Created"":{""id"":""jJqp"",""type"":""created_time"",""created_time"":""2025-09-01T01:41:00.000Z""},""Status"":{""id"":""p%5E%5EY"",""type"":""status"",""status"":{""id"":""59971fac-5563-4bf4-a796-4e091a3bb56d"",""name"":""Not started"",""color"":""default""}},""Version"":{""id"":""rTr%3A"",""type"":""select"",""select"":{""id"":""2d5042b8-14c9-4de1-8ba9-94677854665c"",""name"":""5.26.47.250808"",""color"":""green""}},""Files"":{""id"":""%7D%40%7Dg"",""type"":""files"",""files"":[]},""Name"":{""id"":""title"",""type"":""title"",""title"":[{""type"":""text"",""text"":{""content"":""[Crash] [點餐通2.0] [NU PASTA] _ [台中潭子店] [V5.26.47.250808]"",""link"":null},""annotations"":{""bold"":false,""italic"":false,""strikethrough"":false,""underline"":false,""code"":false,""color"":""default""},""plain_text"":""[Crash] [點餐通2.0] [NU PASTA] _ [台中潭子店] [V5.26.47.250808]"",""href"":null}]}},""url"":""https://www.notion.so/Crash-2-0-NU-PASTA-_-V5-26-47-250808-261b851a1fe98120a704de57e2be9222"",""public_url"":null,""request_id"":""fb9954ef-d403-459e-9e2f-e4b22bfeb742""}"
[Crash] [點餐通2.0] [NU PASTA] _ [台中霧峰店] [V5.26.47.250808]_20250831_155104,200,"{""object"":""page"",""id"":""261b851a-1fe9-81b8-a386-fc15399b0406"",""created_time"":""2025-09-01T01:41:00.000Z"",""last_edited_time"":""2025-09-01T01:41:00.000Z"",""created_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""last_edited_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""cover"":null,""icon"":null,""parent"":{""type"":""database_id"",""database_id"":""23fb851a-1fe9-8025-bf47-e561ab5fea68""},""archived"":false,""in_trash"":false,""properties"":{""Date"":{""id"":""FjT%3C"",""type"":""date"",""date"":{""start"":""2025-08-31"",""end"":null,""time_zone"":null}},""ContentHash"":{""id"":""fsOJ"",""type"":""rich_text"",""rich_text"":[]},""Created"":{""id"":""jJqp"",""type"":""created_time"",""created_time"":""2025-09-01T01:41:00.000Z""},""Status"":{""id"":""p%5E%5EY"",""type"":""status"",""status"":{""id"":""59971fac-5563-4bf4-a796-4e091a3bb56d"",""name"":""Not started"",""color"":""default""}},""Version"":{""id"":""rTr%3A"",""type"":""select"",""select"":{""id"":""2d5042b8-14c9-4de1-8ba9-94677854665c"",""name"":""5.26.47.250808"",""color"":""green""}},""Files"":{""id"":""%7D%40%7Dg"",""type"":""files"",""files"":[]},""Name"":{""id"":""title"",""type"":""title"",""title"":[{""type"":""text"",""text"":{""content"":""[Crash] [點餐通2.0] [NU PASTA] _ [台中霧峰店] [V5.26.47.250808]"",""link"":null},""annotations"":{""bold"":false,""italic"":false,""strikethrough"":false,""underline"":false,""code"":false,""color"":""default""},""plain_text"":""[Crash] [點餐通2.0] [NU PASTA] _ [台中霧峰店] [V5.26.47.250808]"",""href"":null}]}},""url"":""https://www.notion.so/Crash-2-0-NU-PASTA-_-V5-26-47-250808-261b851a1fe981b8a386fc15399b0406"",""public_url"":null,""request_id"":""32bc106f-89e0-4c18-b085-1e3804b1f7c3""}"
[Crash] [點餐通2.0] [NU PASTA] _ [台中霧峰店] [V5.26.47.250808]_20250831_160549,200,"{""object"":""page"",""id"":""261b851a-1fe9-81d3-8c42-cecdbbc93d75"",""created_time"":""2025-09-01T01:41:00.000Z"",""last_edited_time"":""2025-09-01T01:41:00.000Z"",""created_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""last_edited_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""cover"":null,""icon"":null,""parent"":{""type"":""database_id"",""database_id"":""23fb851a-1fe9-8025-bf47-e561ab5fea68""},""archived"":false,""in_trash"":false,""properties"":{""Date"":{""id"":""FjT%3C"",""type"":""date"",""date"":{""start"":""2025-08-31"",""end"":null,""time_zone"":null}},""ContentHash"":{""id"":""fsOJ"",""type"":""rich_text"",""rich_text"":[]},""Created"":{""id"":""jJqp"",""type"":""created_time"",""created_time"":""2025-09-01T01:41:00.000Z""},""Status"":{""id"":""p%5E%5EY"",""type"":""status"",""status"":{""id"":""59971fac-5563-4bf4-a796-4e091a3bb56d"",""name"":""Not started"",""color"":""default""}},""Version"":{""id"":""rTr%3A"",""type"":""select"",""select"":{""id"":""2d5042b8-14c9-4de1-8ba9-94677854665c"",""name"":""5.26.47.250808"",""color"":""green""}},""Files"":{""id"":""%7D%40%7Dg"",""type"":""files"",""files"":[]},""Name"":{""id"":""title"",""type"":""title"",""title"":[{""type"":""text"",""text"":{""content"":""[Crash] [點餐通2.0] [NU PASTA] _ [台中霧峰店] [V5.26.47.250808]"",""link"":null},""annotations"":{""bold"":false,""italic"":false,""strikethrough"":false,""underline"":false,""code"":false,""color"":""default""},""plain_text"":""[Crash] [點餐通2.0] [NU PASTA] _ [台中霧峰店] [V5.26.47.250808]"",""href"":null}]}},""url"":""https://www.notion.so/Crash-2-0-NU-PASTA-_-V5-26-47-250808-261b851a1fe981d38c42cecdbbc93d75"",""public_url"":null,""request_id"":""a53935d9-eb35-46a4-9792-f7a8015b34a5""}"
[Crash] [點餐通2.0] [NU PASTA] _ [台中順興店] [V5.26.47.250808]_20250830_191329,200,"{""object"":""page"",""id"":""261b851a-1fe9-81ab-a999-da6440348ea8"",""created_time"":""2025-09-01T01:41:00.000Z"",""last_edited_time"":""2025-09-01T01:41:00.000Z"",""created_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""last_edited_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""cover"":null,""icon"":null,""parent"":{""type"":""database_id"",""database_id"":""23fb851a-1fe9-8025-bf47-e561ab5fea68""},""archived"":false,""in_trash"":false,""properties"":{""Date"":{""id"":""FjT%3C"",""type"":""date"",""date"":{""start"":""2025-08-30"",""end"":null,""time_zone"":null}},""ContentHash"":{""id"":""fsOJ"",""type"":""rich_text"",""rich_text"":[]},""Created"":{""id"":""jJqp"",""type"":""created_time"",""created_time"":""2025-09-01T01:41:00.000Z""},""Status"":{""id"":""p%5E%5EY"",""type"":""status"",""status"":{""id"":""59971fac-5563-4bf4-a796-4e091a3bb56d"",""name"":""Not started"",""color"":""default""}},""Version"":{""id"":""rTr%3A"",""type"":""select"",""select"":{""id"":""2d5042b8-14c9-4de1-8ba9-94677854665c"",""name"":""5.26.47.250808"",""color"":""green""}},""Files"":{""id"":""%7D%40%7Dg"",""type"":""files"",""files"":[]},""Name"":{""id"":""title"",""type"":""title"",""title"":[{""type"":""text"",""text"":{""content"":""[Crash] [點餐通2.0] [NU PASTA] _ [台中順興店] [V5.26.47.250808]"",""link"":null},""annotations"":{""bold"":false,""italic"":false,""strikethrough"":false,""underline"":false,""code"":false,""color"":""default""},""plain_text"":""[Crash] [點餐通2.0] [NU PASTA] _ [台中順興店] [V5.26.47.250808]"",""href"":null}]}},""url"":""https://www.notion.so/Crash-2-0-NU-PASTA-_-V5-26-47-250808-261b851a1fe981aba999da6440348ea8"",""public_url"":null,""request_id"":""11d2a2c5-4353-48cb-a2da-040d63acc836""}"
[Crash] [點餐通2.0] [NU PASTA] _ [台南永康店] [V5.26.47.250808]_20250829_183355,200,"{""object"":""page"",""id"":""261b851a-1fe9-8104-bcb3-e4a231e97b95"",""created_time"":""2025-09-01T01:41:00.000Z"",""last_edited_time"":""2025-09-01T01:41:00.000Z"",""created_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""last_edited_by"":{""object"":""user"",""id"":""e560204d-c3c7-487f-9caa-f04667e85af7""},""cover"":null,""icon"":null,""parent"":{""type"":""database_id"",""database_id"":""23fb851a-1fe9-8025-bf47-e561ab5fea68""},""archived"":false,""in_trash"":false,""properties"":{""Date"":{""id"":""FjT%3C"",""type"":""date"",""date"":{""start"":""2025-08-29"",""end"":null,""time_zone"":null}},""ContentHash"":{""id"":""fsOJ"",""type"":""rich_text"",""rich_text"":[]},""Created"":{""id"":""jJqp"",""type"":""created_time"",""created_time"":""2025-09-01T01:41:00.000Z""},""Status"":{""id"":""p%5E%5EY"",""type"":""status"",""status"":{""id"":""59971fac-5563-4bf4-a796-4e091a3bb56d"",""name"":""Not started"",""color"":""default""}},""Version"":{""id"":""rTr%3A"",""type"":""select"",""select"":{""id"":""2d5042b8-14c9-4de1-8ba9-94677854665c"",""name"":""5.26.47.250808"",""color"":""green""}},""Files"":{""id"":""%7D%40%7Dg"",""type"":""files"",""files"":[]},""Name"":{""id"":""title"",""type"":""title"",""title"":[{""type"":""text"",""text"":{""content"":""[Crash] [點餐通2.0] [NU PASTA] _ [台南永康店] [V5.26.47.250808]"",""link"":null},""annotations"":{""bold"":false,""italic"":false,""strikethrough"":false,""underline"":false,""code"":false,""color"":""default""},""plain_text"":""[Crash] [點餐通2.0] [NU PASTA] _ [台南永康店] [V5.26.47.250808]"",""href"":null}]}},""url"":""https://www.notion.so/Crash-2-0-NU-PASTA-_-V5-26-47-250808-261b851a1fe98104bcb3e4a231e97b95"",""public_url"":null,""request_id"":""fea92c88-464f-4e60-a99e-93dcbeba3a93""}"
